	symbol	returns
11	TSLA	[-0.11336902421067899, -0.15058393939813128, 0.2141587977786486, -0.2133304608695104, -0.005866833363045959, 0.19276824287125832, 0.1979527768708262, 0.01782963113517354, 0.06968227214966276, -0.13677319892365708, 0.16230543536308684, 0.017947665756428623, 0.14159982898147758, 0.14768631469500418, -0.004923679361680316, -0.03834622311285342, 0.015008247551149574, 0.16476549250903316, -0.1273959995728901, -0.160935317687757, -0.09174012922073747, 0.09498309261987267, -0.32646108260749823, 0.965256664219707, 0.70664575832511, 0.477940565052599, 0.3585154590713065, 0.14283897686477964]
12	CZR	[0.12371132297538134, 0.24421958984838507, 0.21279206862044384]
13	PINS	[0.03544827636362645, -0.0752889117911095, -0.26980565215249924, -0.05033562385842536, 0.023478300675101902]
14	CLVS	[-0.004985467593351259, 0.017905311112090438, -0.05280598045483192, -0.07707399037216606, 0.21774886130875656, -0.0766400146484375, 0.24732676591023361, 0.04176156023032993, 0.0021425624802930967, -0.032398169786260374, 0.008268846225218143]
15	INVH	[-0.02913043809973675, 0.0360465245223681, 0.022769640991291556, 0.06485360540371828]
16	BSX	[0.02826860928669877, 0.010869554888924153, 0.11111112979961402, 0.1720429871246647, 0.22953021233911225, 0.08639059318205237, 0.16828472372251885, 0.01791809158381621, 0.09732358610627227, -0.03532802993230975, 0.06308406980658238, -0.04357632299737177, 0.029897727246295056, 0.029897727246295056, 0.025359827394755275, 0.13571905592555958, -0.01121608784342267, 0.05352641194394197, -0.004417618662173392, 0.018431345621744793, 0.06121658103057869, 0.02171007371195201, 0.08127601573327213, 0.14762294629941503, -0.06537803345960075]
17	EBAY	[-0.01870993481573446, -0.01870993481573446, 0.020958717328924546, -0.024853531810931043, -0.033787331730734546, 0.10617754655764539, 0.09275928470396089, -0.05690181335422333, -0.059116810151367036, 0.03737959064734248, 0.005894606801875065, 0.0551119206191077, 0.0192203474371569, -0.004374454580886175, -0.034873843654421054, 0.05142176024460471, -0.09615385700585212, -0.10773992645310738, -0.006538149697203476, 0.057142881566688654, 0.07890583808205612, -0.04582390099904598, -0.06830277939434547, -0.08790414775916916, 0.2588197439332489, 0.07928850997628198, 0.09639161220961064]
18	MYL	[0.05035687915705776, 0.09514480464837424, -0.029120915627912768, -0.04175707350666967, -0.04175707350666967, 0.047594132189828664, -0.017578498338387826, 0.04722921974866558, -0.03631703054528592, -0.09956261996987695, -0.049689394391131264, 0.10272396558259111, -0.0853573598376702, -0.11003386537853291, 0.018646796640058628, -0.06395832587252691, -0.13974792409232703, 0.020325245944716634]
19	CSCO	[0.06779654259130866, 0.06779654259130866, 0.12004534867218941, 0.00906058847301047, 0.00906058847301047, 0.1513868944078548, -0.09059496246147412, -0.004084982979562229, -0.02292941783919811, -0.04931898070720076, 0.02116587844590132, -0.02156792812436253, 0.16877448235407244, 0.11871962191837228, -0.040714263916015625, 0.0980204254386232, -0.066962969744647, -0.08892126253358852, 0.024787223648143925, 0.11748770041959793, 0.002715063711737006]
20	MO	[-0.028479189124865252, 0.01842747078669575, 0.04342501944387315, 0.02881466176060473, 0.04364393077098905, 0.04693688434075019, 0.09043517611441063, 0.05093477210258498, -0.013698620485246863, -0.00030992938789241515, 0.05430361718063194, -0.05068871050303878, -0.08164982876675674, -0.008554616592675182, 0.00017953933575375912, -0.06060606060606061, -0.13553115570367932, 0.051883580917186395, -0.003952508977731968, -0.15211444830471094, 0.07038196077429369]
