	symbol	returns
10	WTI	[-0.3557894656532689, 0.11817599156405531, -0.3553088091446845, -0.38340610826327576, 1.1746032617049489, 0.01366741334950742, 0.31100484309147913]
11	MTDR	[-0.16127872652690314, -0.11751240104127704, -0.036734755443363666, 0.1307565931364937, -0.30709381789473583, 0.4674085211786202, 0.13084555728771602, 0.033257381178266966, -0.08732130016451327, 0.0412646159716872, 0.05775400425899713, -0.14415948087075958, -0.18225141193775252, 0.01793726411299031]
12	SM	[0.2829589586352472, 0.03343464203685505, 0.18399679912823172, -0.07481323337967623, -0.07933640368890393, -0.1504759758809092, 0.030608485206128945, 0.069758277269827, -0.08607081814909959, -0.3021674754446375, 0.513244036846005, 0.09836728498441057, 0.007081050359304855, -0.530452414472174, 0.2757825612530708, 0.2640777299514046, 0.13034731157499346, -0.11243067801940995, -0.18295866178100906, -0.09190988290754926, -0.27660672787049095, 0.2404494870839274, 0.09661174888323167, 0.05500195904240608, -0.3971962866715252, 0.0481481410465168, -0.28829530672354653, -0.3188291595873578, -0.8024819078022788, 1.0224718890426703]
13	BCRX	[-0.02857140132359096, 1.9430892922147225, 0.6888888676961263, 0.9182948439082488, 0.125, 0.4207968843302412, -0.2283991813603624, -0.7357512898322106, -0.10714285038496085, -0.09531504800224876, -0.04838714639304418, -0.23115572631526987, 0.029411736347271383, 0.7142857142857143, 0.37974677049966676]
14	OCUL	[0.4221453074054185, 0.5114872198423289, 0.00462966199383423]
15	BKD	[-0.04942168829832617, 0.037236132403533184, 0.11197754207143289, -0.2390892211460897, 0.09282375681631667]
16	TSE	[-0.0032531028696910448, -0.09825774369624377, -0.332408050837923, -0.332408050837923]
17	FSM	[0.036211731907798285, -0.038461503192516594, -0.11213237630480483, -0.0942856924874442]
18	ELF	[0.11258869572944123, 0.02943645228672887, 0.08257638549548738, 0.49333326551649304, 0.022530404912166648, 0.23032256095640122, -0.45241202509941464, -0.3829538696631676]
19	MNK	[0.18013387965322664, 0.1342578730895559, 0.16358523086450596, 0.213166132776069, 0.08555774415372198, -0.13448747479499434, -0.14519903707928195, -0.2975340742081161]
20	CODX	[-0.0016146763599945017]
21	BGCP	[0.0027322387765793864, 0.11368911269060683, 0.05792350258161263, 0.02054793303065189]
22	BLMN	[-0.14641399317720621, 0.05980653579772173, -0.020824275840520164, -0.026418389186679783, 0.1660566815834239, -0.12006322875859926, 0.0531372865082313, -0.059717096937471535, -0.022603558893881475, -0.041867218983900896, 0.12025655318536412, 0.1690528480517421, 0.026394456606536106, -0.013621460923274957, -0.06641269270372212, 0.21796215435819125]
23	AXL	[0.18707148288696362, 0.38573516977415967, -0.1330953864924317, 0.3235294117647059, 0.038030455578399285, 0.16081081647085735, 0.25832310181467416, 0.029610373757102272, 0.03833442956503816, 0.08024278760483183, 0.12739965386449054, -0.12876552072531972, -0.7082002226458743]
24	MIK	[0.1584007654105032, 0.2537653813173851, -0.03220673869694945, 0.02916662729816742, -0.0900818736793693, 0.12408371123301498, -0.2422145747393565, -0.2908567215259393, -0.0569758770547276]
25	AMC	[0.017479686931211783, -0.24930408032173246, 0.27426738687125835, -0.26844587259043035, -0.008721018559610298, 0.10174418153345056, -0.3280195955227942, 0.4402515181002808]
26	ENDP	[0.13599515438414744, 0.008268806207384191, 0.285714246934228, 0.285714246934228, 0.285714246934228, 0.285714246934228, 0.005323170709066065, 0.007751970347063808, -0.02433955857077815, 0.18248775457173685, -0.15202619050235963, -0.02793589756324461, 0.3806954595498017, -0.15095118165689117, -0.2790253257255671, -0.26621162261013176, 0.8803512410904465, 0.15404879334454596, -0.2207629633208145, -0.26982946266919944, -0.2457264741732046]
27	ANF	[-0.37698565453577637, -0.3804225162108444, -0.12990681731973833, 0.13414629076623547, 0.4654502312667328, 0.18249050238618789, 0.18249050238618789, 0.18249050238618789, 0.18249050238618789, 0.18083830507929455, 0.18083830507929455, 0.18083830507929455, 0.18083830507929455, -0.04450921636536801, -0.02445272897173483, 0.0016273765521359939, -0.012867258937432078, -0.05512576879614575, -0.24431361055893291, -0.026694595189827367, 0.06050013667879253, -0.08037424303245733, 0.09250520947096566, -0.1052363846871032, -0.1949091131036932, -0.19861429797895927, -0.15120807419482163, 0.05354486463167604, 0.22485557621666247, 0.20201481138082328, 0.21220018926307926, 0.29675579639270855, 0.04718914973030623, 0.04541830168616456, 0.14596156067399524, 0.18704284419372763, -0.09204363335342844, 0.02295079814333678, -0.02106971034577417, 0.07935794717248112, 0.00621117414559334, -0.11657461689955112, 0.23939815192005887, 0.16666664605113896, 0.07274401352004627, 0.4652605216834883]
28	ADMA	[0.1993464525885947]
29	CERS	[0.03944317367770344]
30	RUBI	[-0.19811314176774342, 0.16999995708465576]
31	OSTK	[0.4938601295286293, 0.03187242761244947]
32	CRK	[0.12375528549887664, -0.0005962483395716638, -0.0005962483395716638, 0.09737831710793174, -0.03310883275827449, -0.4351020657286352, -0.295332803887197, -0.016073518106727653, 0.25443785368360455, 0.19951921974766143, -0.07421152231460831]
33	GBX	[0.08207930743328455, 0.020255438589418626, 0.12110098116466911, 0.056030856300854644, 0.06255752643375548, -0.006244397376094014, 0.15922061776567406, 0.03656307078801811, 0.013584149354371435, 0.03995433859549637, -0.1320236582140851, -0.04867553587969001]
34	EROS	[-0.18032786885245902]
35	EVRI	[0.7220842917897756, 0.7220842917897756]
36	SKT	[0.002785519924560852, 0.07609369348025206, -0.07157829989027747, 0.05160098714931938, 0.12181052124156119, 0.06583357991476518, 0.16808375767890266, 0.15830116114450982, 0.03876651172983025, -0.1213185103323054, 0.13249204848808457, 0.05852629009046053]
37	GIII	[-0.02812830421994744, -0.07813416171465143, 0.18461883927856565, 0.08812521967932141, 0.003705090119220244, 0.009561743723930212, -0.18499009503405633, 0.07649748204284244, -0.037242749288511845, -0.26783815243533776, 0.2542787600434766, 0.056902032957672065, -0.5184413727418881]
38	BBAR	[0.03040081909689191, -0.23354689639275608]
39	APY	[0.28056234604805774, -0.13318278657758498]
40	FLDM	[-0.1888290263956065, 0.15405325185723764, -0.09343202494691934, -0.20138288549379724, 0.34567904959290396, 0.19727895304983428, 0.4924154512604526, -0.2896406170091342]
